"wa_id","mal_id","title","work_type","genre","release","score","top_place"
2398,7769,"Волчица и семеро друзей [Okami-san and Her Seven Companions]","ТВ (12 эп.), 25 мин.","комедия, романтика","c 01.07.2010 по 16.09.2010",7.8,1116
2399,9288,"Eiga Heartcatch Precure! Hana no Miyako de Fashion Show... Desuka!? []","полнометражный фильм, 70 мин.","приключения, махо-сёдзё","30.10.2010",7.3,""
2401,525,"Отогидзоси [Otogi Zoshi]","ТВ (26 эп.), 25 мин.","приключения, мистика, драма","c 07.07.2004 по 30.03.2005",7.6,1800
2402,1490,"Галактические железные дороги [ТВ-1] [The Galaxy Railways]","ТВ (26 эп.), 25 мин.","приключения, драма, фантастика","c 04.10.2003 по 04.04.2004",6.7,3441
2403,550,"Югио! [Yu-Gi-Oh!]","ТВ (27 эп.), 25 мин.","приключения, фэнтези, комедия","c 04.04.1998 по 10.10.1998",7.2,2690
2404,2006,"Югио! (фильм первый) []","короткометражный фильм, 30 мин.","приключения, фэнтези","06.03.1999",7.4,2190
2405,1894,"Югио! (фильм второй) [Yu-Gi-Oh! The Movie: Pyramid of Light]","полнометражный фильм, 105 мин.","приключения, фэнтези, комедия","13.08.2004",6.7,3455
2406,29247,"Kiki to Lala no Habatake! Pegasus []","OVA (1 эп.), 30 мин.","приключения","21.03.1994",6.0,""
2407,274,"Детское подразделение [ТВ] [Kiddy Grade]","ТВ (24 эп.), 25 мин.","приключения, фантастика, меха","c 09.10.2002 по 19.03.2003",7.6,1669
2408,"","Инуяся (спэшл) [InuYasha: The Tragic Love Song of Destiny]","ТВ-спэшл, 50 мин.","приключения, фэнтези","19.04.2004",7.2,""
2409,452,"Инуяся (фильм первый) [Inuyasha the Movie: Affections Touching Across Time]","полнометражный фильм, 100 мин.","приключения, комедия, фэнтези","15.12.2001",7.7,1511
2410,450,"Инуяся (фильм второй) [Inuyasha the Movie 2: The Castle Beyond the Looking Glass]","полнометражный фильм, 100 мин.","приключения, комедия, фэнтези","21.12.2002",7.7,1456
2411,451,"Инуяся (фильм третий) [InuYasha the Movie 3: Swords of an Honorable Ruler]","полнометражный фильм, 100 мин.","приключения, комедия, фэнтези","20.12.2003",8.2,535
2412,9606,"Kaba no Potomas []","короткометражный фильм, 25 мин.","приключения, комедия","??.??.1988","",""
2413,26,"Технолайз [Texhnolyze]","ТВ (22 эп.), 25 мин.","приключения, фантастика, драма","c 17.04.2003 по 25.09.2003",8.3,388
2414,8551,"Доктор Сламп (фильм #11) []","короткометражный фильм, 5 мин.","приключения, комедия","03.03.2007",8.5,""
2415,"","Hanabeam []","музыкальное видео, 4 мин.","музыкальный","17.06.2010",3.0,""
2416,554,"Стальной ангел Куруми [ТВ-1] [Steel Angel Kurumi]","ТВ (24 эп.), 15 мин.","комедия, романтика, этти","c 05.10.1999 по 04.04.2000",7.2,2596
2418,555,"Стальной ангел Куруми [ТВ-2] [Steel Angel Kurumi 2]","ТВ (12 эп.), 15 мин.","приключения, комедия, романтика","c 13.04.2001 по 29.06.2001",5.8,4370
2419,557,"Стальной ангел Куруми OVA-1 [Steel Angel Kurumi Encore]","OVA (4 эп.), 15 мин.","комедия, романтика, этти","c 19.07.2000 по 04.10.2000",7.2,2686
2420,21969,"Вперёд, Анпанман! (фильм #16) []","короткометражный фильм, 50 мин.","приключения","17.07.2004",2.0,""
2421,556,"Стальной ангел Куруми OVA-2 [Steel Angel Kurumi Zero]","OVA (3 эп.), 15 мин.","приключения, романтика, этти","c 18.04.2001 по 20.06.2001",7.0,3021
2422,1028,"Принцесса Аритэ [The Adventure of Princess Arete]","полнометражный фильм, 115 мин.","приключения, фэнтези, драма","21.07.2001",7.5,1885
2423,634,"Ветер любви []","ТВ (13 эп.), 25 мин.","романтика, драма, повседневность","c 02.04.2004 по 18.06.2004",8.2,443
2424,8964,"Стич! [ТВ-3] [Stitch! Always the Best of Friends]","ТВ (29 эп.), 25 мин.","приключения, комедия","c 06.07.2010 по 08.03.2011",4.9,""
2425,72,"Стальная тревога: Фумоффу [Full Metal Panic? Fumoffu]","ТВ (12 эп.), 25 мин.","приключения, комедия, повседневность","c 26.08.2003 по 18.11.2003",8.6,99
